USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
198,FEMALE,P,0117,N,1,MARRIED,1,,7,,1200.00,0.00
199,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
200,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
201,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
202,FEMALE,P,0117,N,1,MARRIED,1,,7,,1200.00,0.00
203,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
204,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
205,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
206,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
207,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
208,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
209,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
210,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
211,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
212,FEMALE,P,,S,1,SINGLE,0,,,,,0.00
213,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
214,FEMALE,P,,S,1,MARRIED,,,,,,0.00
215,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
216,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
217,FEMALE,P,0117,N,1,MARRIED,1,,7,,5000.00,0.00
218,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
219,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
220,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
221,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
222,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
223,FEMALE,P,0117,N,1,MARRIED,1,,7,,10000.00,0.00
224,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
225,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
226,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
227,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
228,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
229,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
230,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
231,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
232,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
233,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
234,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
235,FEMALE,P,0117,N,1,MARRIED,1,,7,,5840.00,0.00
236,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
237,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
